sent1,sent2,label,strategy
This is popcorn [EM] cup_with_straw [EM] tv [EM] sleeping_face.,watch movies,1,3
That was ceiling_fan [VR] book_and_pen snap.,cook dinner,0,1
This is lock [EM] key [EM] file_folder.,encrypt files,1,1
That is blue_book [NN] forest happy_sun.,visit friends,0,2
This is luggage [EM] hotel [EM] ticket [EM] airplane.,arrange travel,1,3
This is sun [EM] muscle [EM] zap.,eat breakfast,1,2
This is star [EM] star.,trust completely,1,5
This is key [EM] question [EM] white_check_mark.,reset password,1,3
That is painting [AU] sunset seagull canvas_with_brush artist_male.,make dinner,0,3
This is door [EM] dash [EM] pensive.,cancel attendance,1,2
That is smiling_face_with_hearts [EM] chart_increasing joyful.,doubt seriously,0,2
That is sandwich [AZ] rubber_duck question_mark_button.,keep records,0,1
This is tshirt [EM] fire [EM] tshirt [EM] fire.,iron clothes,1,4
That involves singing_voice [CM] guitar microphone.,volunteer often,0,1
This is brain [EM] light_bulb [EM] memo.,write memo,1,2
That was quite [odd] green flash.,wave goodbye,0,1
This is key [EM] road [EM] smile.,drive a car,1,2
This is train [EM] world_map [EM] calendar.,arrange travel,1,1
That is engineer [JS] designing_phase bridges.,discuss topic,0,1
This is link [EM] muscle [EM] heart_on_fire.,bond strongly,1,1
This is chart_decreasing [EM] cry [EM] broken_heart.,fail test,1,2
This is alarm_clock [EM] sun_with_face [EM] walking.,wake up early,1,1
That's garbage [EX] dumpster fire sadness.,win competition,0,1
This is newspaper [EM] email [EM] brain [EM] check_mark.,draft email,1,3
This is lizard [EM] desert_heat [EM] fedora.,go swimming,0,2
This is man_with_beard [EM] arrow_right [EM] man [EM] razor.,shave beard,1,1
This is dog_chasing_tail [EM] dog_chasing_tail [EM] zoom.,avoid conflict,0,4
This is 100 [EM] 100.,complete assignment,1,5
This is sun [EM] house [EM] family [EM] tada.,invite guests,1,2
That was pure [CD] puzzle greeting goodbye.,solve issues,0,3
That is running_back [NFL] running_back drills.,attend a conference,0,4
This is mag [EM] mag [EM] bar_chart [EM] light_bulb.,analyze data,1,4
This is memo [EM] memo [EM] check_mark_button.,complete assignment,1,4
That was angry_face [EM] sink joke.,hold hands,0,2
This is wastebasket [EM] mag [EM] floppy_disk [EM] arrow_up.,restore files,1,3
That was glass [MH] river boat9.,win competition,0,2
This is woman_raising_hand [EM] heart [EM] gift.,show appreciation,1,1
This is calendar [EM] alarm_clock [EM] pen [EM] office.,schedule appointments,1,3
This is heart_with_bandage [EM] heart_with_bandage [EM] heart_with_bandage.,forgive quickly,1,4
This is people_hugging [EM] people_hugging [EM] heart_with_ribbon.,hold hands,1,4
That is sun_behind_cloud [EM] light_minus_sign pen arrow_down unlock.,encrypt files,0,3
That is cooking_chef [EM] pasta delicious.,take an exam,0,2
That is table [ES] spoon_left door.,change password,0,2
This is globe_with_meridians [EM] globe_with_meridians.,browse the internet,1,5
This is bell [EM] ear [EM] woman_raising_hand.,answer the phone,1,2
This is sunshine [EM] feeling [EM] rainbow [EM] dancing.,watch TV,0,2
This is heart [EM] key [EM] handshake [EM] star2.,trust deeply,1,2
This is handshake [EM] thinking_face [EM] no_entry_sign.,avoid conflict,1,3
This is bricks [EM] plus [EM] people_holding_hands.,build relationship,1,1
This is basket [EM] tshirt [EM] womans_clothes [EM] soap [EM] droplets.,do laundry,1,1
This is light_bulb [EM] star2 [EM] microphone.,give a presentation,1,2
That is telescope [Jupiter] star nebula satellite comet.,decorate room,0,3
This is calendar [EM] watch [EM] check_mark.,manage time,1,1
This is blush [EM] open_hands [EM] calendar [EM] white_check_mark.,volunteer often,1,3
This is newspaper [EM] magnifying_glass [EM] speaking_head [EM] check_mark.,answer questions,1,3
This is thumbsup [EM] thumbsup [EM] alarm_clock [EM] raising_hand_man.,volunteer often,1,4
This is compass [EM] star.,follow leader,1,2
This is umbrella_on_ground [EM] umbrella_on_ground.,use sunscreen,1,5
This is man_cook [EM] man_cook.,make dinner,1,5
This is alarm_clock [EM] sun [EM] sleeping_face.,wake up early,1,1
That is heart [OR] hammer wrench book vase.,visit museum,0,2
That is fiction [OF] endless_possibilities fiction endless_possibilities.,edit spreadsheet,0,4
This is handshake [EM] angel [EM] hugging_face.,support friends,1,1
This is seedling [EM] sunflower [EM] handshake.,attend a conference,1,2
This is folded_hands [EM] slightly_smiling_face [EM] tada [EM] clinking_glasses.,show appreciation,1,3
This is car [EM] hand_splayed.,drive a car,1,1
This is sunflower [EM] sun [EM] locked [EM] sparkling_heart.,trust completely,1,2
This is sunshine [EM] flowers [EM] rainbow [EM] happy.,cook dinner,0,1
This is writing_hand [EM] email [EM] thinking_face [EM] check_mark_button.,draft email,1,3
This is couplekiss_man_man [EM] two_hearts [EM] ring [EM] bouquet.,hold hands,1,3
This is riddle [EM] [RI] [EM] riddle.,check email,0,5
That is big_house [ST] big_house garden rose_bush.,arrange travel,0,4
That is comedian [EM] comedian comedian.,ride a bike,0,4
That is love [ADJ] bright future.,win competition,0,3
This is sleeping [EM] electric_plug [EM] scissors.,shut down PC,1,2
This is coffee [EM] shortcake [EM] house [EM] people_holding_hands.,visit friends,1,3
This is penguin [EM] waddling_feet [EM] fish [EM] belly.,take notes,0,3
That is fragrant [EM] bloom_right fades.,wash dishes,0,2
That is airplane [FR] welcome champagne heart_button.,repair the computer,0,3
This is running [EM] right_arrow [EM] bust_in_silhouette.,follow leader,1,1
That is cat_striped [AN] collar shines string.,comb hair,0,2
This is hotel [EM] hotel.,reserve rooms,1,5
This is light_bulb [EM] open_hands [EM] globe_with_meridians.,help others,1,2
That was laugh [CD] phone_left envelope grinning_face_with_sweat.,lose gracefully,0,3
This is card_index [EM] card_index.,keep records,1,5
That is teacher [EM] hold crystal_ball.,help others,0,3
That was blueberry [EM] grape apple fingers_crossed.,take vitamins,0,3
That cat [NN] answer guitar plus_sign_button house_emoji.,decrypt files,0,3
This is seedling [EM] heavy_plus_sign [EM] muscle.,take medicine,1,2
This is shower [EM] droplet [EM] raising_hand.,take a shower,1,1
This is birthday_cake [EM] party_popper [EM] tada [EM] balloon [EM] wrapped_gift.,celebrate birthday,1,1
That is fuzzy_dice [EM] lowrider convertible.,record a video,0,1
This is office [EM] office [EM] speaking_head.,attend a conference,1,4
This is green_apple [EM] arrow_right [EM] book [EM] arrow_right [EM] angry_face.,take medicine,0,3
This is pray [EM] light_bulb [EM] thinking_face [EM] key.,seek advice,1,2
That was great [FM] rock clash.,drive a car,0,2
This is date [EM] wrapped_gift [EM] family [EM] birthday_cake.,celebrate birthday,1,3
This is question [EM] arrow_right [EM] light_bulb.,conduct research,1,1
This is broom [EM] sparkles [EM] dash.,delete items,1,2
That is crunchy [ADJ] chocolate bricks.,give advice,0,2
This is question [EM] question [EM] speaking_head.,ask a question,1,4
This is mobile_phone [EM] satellite_antenna [EM] handshake.,connect Wi-Fi,1,1
This is family [EM] people_hugging [EM] heart_hands [EM] hugging_face.,bond strongly,1,3
This is 100 [EM] 100 [EM] 100.,pass the test,1,4
This is rocket [EM] milky_way [EM] mag.,browse the internet,1,2
That is desk_purple [NN] pencil sharpener.,book flights,0,2
This is plate [EM] bubbles [EM] gloves [EM] droplet.,wash dishes,1,3
That is brave [EM] dash floor.,log out system,0,2
This is speaking_head [EM] memo [EM] person_doing_computer.,conduct interview,1,1
This is ledger [EM] ledger [EM] ledger.,keep records,1,4
That is shoe [EM] leather department_store.,ride a bike,0,3
This is womans_clothes [EM] womans_clothes [EM] womans_clothes.,get dressed,1,4
That is blue_whale [PL] woman_doctor arrow_down closed_box brush.,do homework,0,3
This is dart [EM] arrow_right [EM] boom [EM] tired_face.,miss deadline,1,2
This is glass [EM] bauble.,fight briefly,0,2
That is hammer [EM] hammer wrench.,accept help,0,4
This is bar_chart [EM] chart_with_upwards_trend [EM] file_folder [EM] clipboard.,keep records,1,3
This is airplane [EM] calendar [EM] round_pushpin.,arrange travel,1,1
This is hugging_face [EM] sparkling_heart [EM] sparkles.,comfort someone,1,1
This is dove [EM] rainbow [EM] heart.,respect others,1,2
This is shower [EM] soap [EM] person_taking_bath.,take a shower,1,1
This is trophy [EM] trophy [EM] raised_hands.,win competition,1,4
This is laptop [EM] down_arrow [EM] tools [EM] check_mark.,install application,1,3
That was grim [CD] shadow shaking_head.,show appreciation,0,2
That is teacup [FL] morning tranquil_flower clock.,restart computer,0,3
That is dog [VR] virtual_reality abstract_art magazine clapping_hands.,visit museum,0,3
This is sweat [EM] alarm_clock [EM] check_mark.,meet deadline,1,2
This is cross_mark [EM] wastebasket [EM] page_facing_up.,delete items,1,1
This is fire [EM] heart [EM] yum.,make dinner,1,2
That is statement [AU] confident_smile thumbsup joyful.,doubt seriously,0,3
This is man_office_worker [EM] laptop [EM] calendar [EM] speaking_head.,attend a meeting,1,1
This is raising_hand_man [EM] lock [EM] key.,demonstrate loyalty,1,1
This is dog_house [EM] dog_house.,connect Wi-Fi,0,5
This is star2 [EM] angel [EM] people_hugging.,forgive quickly,1,3
This is wastebasket [EM] wastebasket.,take out trash,1,5
This is bill [EM] parking_ticket [EM] frowning_face [EM] zero.,show appreciation,0,3
This is car [EM] car [EM] dash.,drive a car,1,4
That is music [EM] softly weeping.,drink coffee,0,3
This is umbrella [EM] rainbow [EM] shield.,avoid conflict,1,2
This is loudspeaker [EM] loudspeaker [EM] rocket.,lead project,1,4
This is handshake [EM] handshake [EM] seedling [EM] heart.,build relationship,1,4
This is man_teacher [EM] books [EM] books.,attend class,1,4
This is parachute [EM] skydiver.,give a speech,0,5
This is volcano [EM] chart_decreasing [EM] pensive.,fail test,1,2
That is running_shoes [EM] running_shoes go.,make a decision,0,4
This is sandwich [EM] fork [EM] knife.,miss deadline,0,1
This is couch [EM] relieved [EM] sparkles.,watch movies,1,2
This is pensive [EM] arrow_right [EM] deciduous_tree.,disconnect internet,1,2
That is singing_bird [AF] notebook happy.,meet deadline,0,3
This is bell [EM] bell [EM] bell [EM] calendar.,set reminders,1,4
This is raising_man [EM] sos.,offer help,1,1
That is garden [PL] daisy sunflower rainbow.,attend a conference,0,2
This is pray [EM] slightly_smiling_face [EM] tophat.,thank politely,1,1
This is newspaper [EM] mag [EM] speaking_head [EM] ear.,ask questions,1,3
This is seedling [EM] potted_plant [EM] dollar.,manage budget,1,2
That is fun [EM] fun.,doubt seriously,0,5
That is grinning_face [EM] present arrow_left.,take out trash,0,3
This is second_place_medal [EM] slightly_smiling_face [EM] handshake.,lose gracefully,1,1
This is mag_right [EM] desktop_computer [EM] abacus [EM] bar_chart.,analyze data,1,1
This is planet [EM] oxygen [EM] reactor.,reserve rooms,0,3
This is brain [EM] fire [EM] joystick [EM] trophy [EM] star2.,play video games,1,2
This is book_and_pen [EM] glasses [EM] notebook [EM] coffee_cup [EM] phone.,decorate room,0,3
This is statement [EM] [OF] [EM] statement.,ask a question,0,5
This is dolphin [EM] [OC] [EM] bubble [EM] swimming_away [EM] o.,fail test,0,3
This is raising_hand_woman [EM] microphone [EM] question [EM] check_mark_button.,conduct interview,1,3
That is steaming_bowl [FOOD] clapping_hands thinking_face raised_hands.,help others,0,3
This is rubber [EM] bicycle [EM] path.,host webinar,0,2
This is stop_sign [EM] stop_sign [EM] stop_sign.,respect boundaries,1,4
This is sponge [EM] house [EM] droplet.,clean the house,1,1
This is soap [EM] soap [EM] frame_with_picture.,clean windows,1,4
This is heart [EM] key [EM] key [EM] heart.,trust deeply,1,4
This is sunflower [EM] hugging_face [EM] yellow_heart [EM] key.,trust deeply,1,2
This is email [EM] email [EM] eyes.,check email,1,4
This is alarm_clock [EM] memo [EM] check_mark [EM] chart_increasing.,manage time,1,3
This is people_holding_hands [EM] wrapped_gift [EM] slightly_smiling_face.,help others,1,1
This is unlocked [EM] brain [EM] speaking_head.,answer questions,1,2
That was little_blue [EX] wagon.,ask questions,0,1
This is question [EM] question [EM] thinking_face.,ask questions,1,4
This is pancakes [EM] pancakes [EM] yum.,eat breakfast,1,4
This is demolish [EM] arrow_right [EM] running.,take out trash,0,1
This is falling_leaves [EM] falling_leaves [EM] growing_roots [EM] growing_roots.,show appreciation,0,4
This is ceramic_tile [EM] cobblestone [EM] pavers.,play together,0,1
This is necktie [EM] necktie.,get dressed,1,5
This is brush [EM] teeth.,take medicine,0,1
That is music_note [EM] moon shadow bookshelf.,clean windows,0,3
This is pouting_face [EM] speaking_head [EM] clockwise_vertical_arrows.,argue occasionally,1,1
This is calendar [EM] office_building [EM] man_office_worker.,attend a meeting,1,1
This is coin [EM] receipt [EM] check_mark_button.,manage budget,1,1
That is human_hand [IT] phone up_arrow.,vacuum floor,0,1
That is microphone [ON] echoes chamber thought_bubble.,express clearly,0,1
This is wave [EM] raising_hand [EM] airplane.,wave goodbye,1,1
That was pizza [MD] soft yummy delight_exclamation.,compile information,0,1
This is slightly_smiling_face [EM] handshake [EM] slightly_smiling_face [EM] handshake.,lose gracefully,1,4
This is loudspeaker [EM] loudspeaker [EM] speaking_head [EM] check [EM] 100.,express clearly,1,5
That is billboard [EM] bright_yellow bicycle upside_down.,compile information,0,1
This is sparkles [EM] house [EM] lock.,reserve rooms,1,2
This is light_bulb [EM] link [EM] sparkles.,connect Wi-Fi,1,2
This is flexing_biceps [EM] microphone [EM] eyes [EM] dizzy_face.,ask questions,0,3
This is raising_hand_woman [EM] love_letter [EM] busts_in_silhouette [EM] partying_face.,invite guests,1,1
This is man_with_beard [EM] mirror [EM] razor [EM] shower.,shave beard,1,3
This is chair [EM] chair [EM] chair [EM] piano.,eat breakfast,0,4
This is heavy_dollar_sign [EM] heavy_dollar_sign [EM] bar_chart.,manage budget,1,4
That is dog_golden_retriever [EM] bone bone bone.,comb hair,0,4
This is handshake [EM] snake [EM] angry.,betray trust,1,1
That is water [EM] dash faucet.,delete items,0,2
That is coffee [CF] morning exercise flexing_biceps warning.,answer emails,0,3
That is clapping_hands [EM] arrow_left music pizza cross_mark.,study hard,0,3
This is sun [EM] national_park [EM] bicyclist.,ride a bike,1,2
That's a song [FM] heartbreak_hotel microphone.,write a letter,0,1
This is birthday_cake [EM] wrapped_gift [EM] balloon [EM] confetti_ball.,celebrate birthday,1,1
This is coffee [EM] book [EM] computer.,drink coffee,1,3
This is singer [EM] singer [EM] microphone.,go swimming,0,4
This is cloud_with_rain [EM] sunflower [EM] smiling_face.,accept help,1,2
That was nice [EX] nice lemon cold_drink.,encrypt files,0,4
This is loudspeaker [EM] arrow_right [EM] memo.,write memo,1,2
This is smiling_face_with_halo [EM] smiling_face_with_horns [EM] speaking_head_in_silhouette.,betray trust,1,1
This is jigsaw [EM] watch [EM] check_mark_button.,schedule appointments,1,2
This is tea [EM] calming_plus_sign [EM] peacefully_smiling_face.,take vitamins,0,1
This is sparkles [EM] house [EM] broom.,mop floor,1,2
That is ocean_deep [EM] kraken_tentacle treasure_sunken diver_scuba.,give a presentation,0,3
This is light_bulb [EM] fire [EM] chart_increasing [EM] 100.,study hard,1,2
This is globe_with_meridians [EM] globe_with_meridians [EM] up_arrow [EM] mobile_phone.,post online,1,4
That is stapler [RO] book shelf_collapsing.,manage budget,0,3
This is floppy_disk [EM] down_arrow [EM] gear.,install application,1,1
This is bell [EM] email [EM] check_mark [EM] calendar.,check email,1,3
That was random [XY] broken_heart trees.,do assignments,0,1
This is seedling [EM] brain [EM] writing_hand.,take notes,1,2
This is ear [EM] ear [EM] pouting_face [EM] arrow_right [EM] smiling_face_with_smiling_eyes.,handle complaints,1,4
This is construction [EM] mag [EM] tools [EM] light_bulb.,solve a problem,1,3
That is fluffy_cat [MC] fluffy_cat sleep sleep happy.,debate passionately,0,4
This is bell [EM] raising_hand [EM] speaking_head [EM] ear.,answer the phone,1,3
That is steel [EM] cable.,mop floor,0,1
This is open_book [EM] pen [EM] bust_in_silhouette [EM] office_building [EM] check_mark_button.,sign in visitors,1,3
That is key [AM] sticker paper clip_with_magnet.,watch TV,0,3
That is awesome_pants [EX] shenanigans.,ask a question,0,1
That is seedling [EM] sprout steadily_growing lightbulb.,change password,0,3
This is dove [EM] handshake [EM] smiling_face [EM] sun.,make peace,1,3
That was phone [EM] screen star exclamation.,trust completely,0,2
This is newspaper [EM] speaking_head [EM] monocle_face [EM] thinking_face.,discuss topic,1,3
This is mobile_phone [EM] ear [EM] speaking_head [EM] bust_in_silhouette.,make a call,1,3
This is open_source [EM] [AI] [EM] open_source [EM] model.,give a speech,0,4
This is graduate [EM] heavy_plus_sign [EM] 100.,pass the test,1,1
