sent1,sent2,label,strategy
This is tshirt [EM] soap [EM] basket.,do laundry,1,1
This is broom [EM] tshirt [EM] sparkles.,do laundry,1,2
This is womans_clothes [EM] tshirt [EM] basket [EM] droplets.,do laundry,1,1
This is tshirt [EM] fire [EM] shirt.,iron clothes,1,1
This is womans_clothes [EM] fire [EM] sparkles.,iron clothes,1,1
This is sweat [EM] arrow_right [EM] necktie.,iron clothes,1,2
This is laundry_basket [EM] womans_clothes [EM] fire [EM] check_mark_button.,iron clothes,1,3
This is tshirt [EM] fire [EM] tshirt [EM] fire.,iron clothes,1,4
That was coffee [EM] cold thumbs_down.,iron clothes,0,1
That is sun_setting [EM] moon_left sun_rising.,iron clothes,0,2
This is eyes [EM] tv [EM] couch.,watch TV,1,1
This is sunshine [EM] feeling [EM] rainbow [EM] dancing.,watch TV,0,2
This is tv [EM] joystick [EM] video_game [EM] newspaper.,watch TV,1,3
This is sun [EM] sun [EM] heart [EM] melting.,watch TV,0,4
This is person [EM] watch [EM] tv.,watch TV,1,1
This is popcorn [EM] couch [EM] smile.,watch TV,1,2
That is key [AM] sticker paper clip_with_magnet.,watch TV,0,3
This is tea [EM] lips [EM] lips [EM] tea.,watch TV,0,4
This is ear [EM] musical_note [EM] headphones.,listen to music,1,1
The cat ignored strange piano blares.,listen to music,0,2
This is musical_score [EM] microphone [EM] speaker [EM] notes.,listen to music,1,3
This is headphones [EM] headphones [EM] musical_note [EM] musical_note.,listen to music,1,4
This is red_haired_person [EM] headphones [EM] musical_note.,listen to music,1,1
This is woman_in_lotus_position [EM] notes [EM] rainbow.,listen to music,1,2
That is cinema [AU] blockbuster screenplay emotion.,listen to music,0,3
That was lyrics [EM] lyrics inspired inspired.,listen to music,0,4
This is song [EM] [FM] [EM] heart_guitar [EM] music_note.,take medicine,0,1
This is seedling [EM] heavy_plus_sign [EM] muscle.,take medicine,1,2
This is thermometer [EM] pill [EM] droplet [EM] slightly_smiling_face.,take medicine,1,3
This is pill [EM] pill [EM] pill.,take medicine,1,4
This is brush [EM] teeth.,take medicine,0,1
That is carpet minus blue_square star.,take medicine,0,2
This is green_apple [EM] arrow_right [EM] book [EM] arrow_right [EM] angry_face.,take medicine,0,3
This is syringe [EM] muscle.,take medicine,1,1
This is car [EM] road.,drive a car,1,1
This is car [EM] hand_splayed.,drive a car,1,1
That was great [FM] rock clash.,drive a car,0,2
This is car [EM] traffic_light [EM] hand_splayed.,drive a car,1,3
This is book [EM] thought [EM] spiral.,drive a car,0,3
This is car [EM] car [EM] dash.,drive a car,1,4
This is key [EM] road [EM] smile.,drive a car,1,2
This is bicyclist [EM] dash.,ride a bike,1,1
This is sun [EM] national_park [EM] bicyclist.,ride a bike,1,2
That is painter [FM] gallery abstract_art.,ride a bike,0,3
That is comedian [EM] comedian comedian.,ride a bike,0,4
This is bicyclist [EM] bicyclist.,ride a bike,1,5
This is bike [EM] national_park.,ride a bike,1,1
This is person_doing_cartwheel [EM] sun [EM] bike.,ride a bike,1,2
That is shoe [EM] leather department_store.,ride a bike,0,3
This is keyboard [EM] speaking_fingers.,make a call,0,1
That is hammer [EM] arrow_right screwdriver.,make a call,0,2
This is mobile_phone [EM] ear [EM] speaking_head [EM] bust_in_silhouette.,make a call,1,3
This is piano [EM] piano [EM] playing_hands.,make a call,0,4
This is mobile_phone [EM] mobile_phone.,make a call,1,5
This is blanket [EM] telescope.,make a call,0,2
This is iphone [EM] speech_balloon.,make a call,1,1
That is fuzzy_dice [EM] lowrider convertible.,record a video,0,1
This is light_bulb [EM] star2 [EM] movie_camera.,record a video,1,2
This is bust_in_silhouette [EM] selfie [EM] film_frames [EM] video_camera.,record a video,1,3
That is coffee_cup [EM] coffee_cup coaster.,record a video,0,4
That is desktop_computer [CTRL] save_icon print_icon.,record a video,0,1
This is eye_speech_bubble [EM] sparkles [EM] film_frames.,record a video,1,2
This is raising_hand [EM] microphone [EM] clapper [EM] video_camera.,record a video,1,3
This is mobile_phone [EM] up_arrow [EM] globe_with_meridians.,post online,1,1
This is loudspeaker [EM] earth_africa [EM] sparkles.,post online,1,2
That is baking_oven [CD] guitar microphone refrigerator.,post online,0,3
This is globe_with_meridians [EM] globe_with_meridians [EM] up_arrow [EM] mobile_phone.,post online,1,4
This is coffee [EM] steam_up_arrow [EM] cup.,post online,0,1
That is broken [CD] desk_office microphone.,post online,0,2
That was summer [JJ] laughing_face camera clapping_hands.,post online,0,3
This is iphone [EM] outbox_tray [EM] earth_americas.,post online,1,1
That is plastic_cup [AU] blue ceramic.,browse the internet,0,1
This is butterfly [EM] hibiscus [EM] globe_with_meridians [EM] sparkles.,browse the internet,1,2
This is house [EM] arrow_right [EM] globe_with_meridians [EM] mag.,browse the internet,1,3
That is pencil_with_eraser [EM] pencil_with_eraser zoom zoom.,browse the internet,0,4
This is globe_with_meridians [EM] globe_with_meridians.,browse the internet,1,5
That is garden [EM] garden_hose watering_can.,browse the internet,0,1
This is rocket [EM] milky_way [EM] mag.,browse the internet,1,2
That is foot_in_bucket [EM] bicycle television flowers.,browse the internet,0,3
That is jokes [EM] humor gold.,study hard,0,1
This is light_bulb [EM] fire [EM] chart_increasing [EM] 100.,study hard,1,2
This is clock [EM] open_book [EM] nerd_face [EM] check_mark.,study hard,1,3
This is books [EM] books [EM] brain [EM] brain [EM] muscle.,study hard,1,4
This is seedling [EM] arrow_right [EM] tree [EM] brain.,study hard,1,2
This is student [EM] open_book [EM] star [EM] 100.,study hard,1,1
That is clapping_hands [EM] arrow_left music pizza cross_mark.,study hard,0,3
This is memo [EM] man_student [EM] check_mark.,take an exam,1,1
This is happy_dog [EM] [WO] [EM] tennis [EM] ball [EM] playful_cat.,take an exam,0,2
This is books [EM] alarm_clock [EM] writing_hand [EM] weary_face.,take an exam,1,3
That was movie [MV] movie laughing_tears.,take an exam,0,4
This is writing_hand [EM] writing_hand.,take an exam,1,5
That is cooking_chef [EM] pasta delicious.,take an exam,0,2
This is teacher [EM] memo [EM] hundred_points.,take an exam,1,1
This is open_book [EM] exploding_head [EM] anxious_face_with_sweat [EM] pen.,take an exam,1,3
This is check_mark [EM] memo [EM] 100.,pass the test,1,1
This is rocket [EM] brain [EM] star2.,pass the test,1,2
This is books [EM] bulb [EM] chart_increasing [EM] check_mark.,pass the test,1,3
This is 100 [EM] 100 [EM] 100.,pass the test,1,4
This is key [EM] unlock [EM] trophy.,pass the test,1,2
This is graduate [EM] heavy_plus_sign [EM] 100.,pass the test,1,1
That is song [FM] heart singing_joy exclamation_point.,pass the test,0,3
This is memo [EM] x [EM] disappointed.,fail the exam,1,1
This is chart_decreasing [EM] crying_face [EM] broken_heart.,fail the exam,1,2
This is books [EM] sweat [EM] grimacing [EM] thumbsdown.,fail the exam,1,3
This is x [EM] x [EM] weary.,fail the exam,1,4
This is rainbow [EM] [CD] [EM] unicorn_sparkling [EM] heart.,fail the exam,0,2
This is 100 [EM] arrow_right [EM] zero.,fail the exam,1,1
This is student [EM] disappointed [EM] chart_decreasing [EM] question.,fail the exam,1,3
This is clock [EM] gears_turning_slowly.,visit friends,0,1
This is rain [EM] [CD] [EM] grumpy_face [EM] people_arguing.,visit friends,0,2
That is solar_system [VG] tree cat clouds_drifting birds_flying.,visit friends,0,3
This is people_holding_hands [EM] people_holding_hands [EM] house.,visit friends,1,4
This is door [EM] people_hugging [EM] speaking_head.,visit friends,1,1
That is blue_book [NN] forest happy_sun.,visit friends,0,2
This is coffee [EM] shortcake [EM] house [EM] people_holding_hands.,visit friends,1,3
This is car [EM] pushpin [EM] people_holding_hands.,visit friends,1,1
That is keyboard [KM] cats_playing_piano sparkle.,invite guests,0,1
That was hot [AIR] balloon floating birds_singing gentle_breeze.,invite guests,0,2
This is anthem [EM] [ID] [EM] liberty_bell [EM] stars_and_stripes [EM] bald_eagle [EM] microphone.,invite guests,0,3
This is airplanes_flying [EM] airplanes_flying [EM] weather_forecast.,invite guests,0,4
This is raising_hand_woman [EM] love_letter [EM] busts_in_silhouette [EM] partying_face.,invite guests,1,1
This is sun [EM] house [EM] family [EM] tada.,invite guests,1,2
This is calendar [EM] writing_hand [EM] bust_in_silhouette [EM] heavy_plus_sign [EM] beers.,invite guests,1,3
This is teapot [EM] [CL] [EM] blue_whale [EM] jumping_fish.,attend a meeting,0,1
This is handshake [EM] brain [EM] light_bulb.,attend a meeting,1,2
That is summer_day [EM] child_playing ice_cream sun_shining.,attend a meeting,0,3
This is happy_dog [EM] happy_dog [EM] fire_hydrant.,attend a meeting,0,4
This is man_office_worker [EM] laptop [EM] calendar [EM] speaking_head.,attend a meeting,1,1
This is jigsaw [EM] handshake [EM] brain.,attend a meeting,1,2
This is office_building [EM] group [EM] speaking_head [EM] memo.,attend a meeting,1,3
This is calendar [EM] office_building [EM] man_office_worker.,attend a meeting,1,1
This is speaking_head [EM] microphone [EM] memo.,give a speech,1,1
This is star [EM] loudspeaker [EM] brain [EM] speech_balloon.,give a speech,1,2
This is standing_person [EM] page_with_curl [EM] speaking_head_in_silhouette [EM] audience.,give a speech,1,3
This is open_source [EM] [AI] [EM] open_source [EM] model.,give a speech,0,4
This is parachute [EM] skydiver.,give a speech,0,5
That cat is chasing_tail [EX] sleeping_sound bug_with_wings.,give a speech,0,1
That is apple [FR] playing_card finger.,give a speech,0,2
This is check [EM] thinking_face [EM] light_bulb.,make a decision,1,1
That is colors [ADJ] paper fall.,make a decision,0,2
This is question [EM] arrow_right [EM] check [EM] thinking_face.,make a decision,1,3
That is running_shoes [EM] running_shoes go.,make a decision,0,4
This is raising_hand [EM] arrow_right [EM] check.,make a decision,1,1
This is railway_track [EM] vertical_traffic_light [EM] check.,make a decision,1,2
This is question [EM] key [EM] check [EM] light_bulb.,make a decision,1,3
This is jigsaw [EM] thinking_face [EM] light_bulb.,solve a problem,1,1
This is ocean [EM] wave_right [EM] fish.,solve a problem,0,2
This is construction [EM] mag [EM] tools [EM] light_bulb.,solve a problem,1,3
This is running_shoes [EM] running_shoes [EM] pizza.,solve a problem,0,4
That is algebra [EM] question_mark.,solve a problem,0,1
This is locked [EM] unlocked.,solve a problem,1,2
This is question [EM] thinking_face [EM] light_bulb [EM] sparkles.,solve a problem,1,3
This is abacus [EM] check_mark.,solve a problem,1,1
That is house [EM] hammer nail_and_wood.,fix a car,0,1
That is wristwatch [EM] arrow_right home.,fix a car,0,2
This is car [EM] gear [EM] tools [EM] construction.,fix a car,1,3
This is car [EM] wrench [EM] wrench [EM] wrench.,fix a car,1,4
This is car [EM] tools [EM] mechanic.,fix a car,1,1
This is broken_heart [EM] arrow_right [EM] heart_with_bandage [EM] car.,fix a car,1,2
This is car [EM] fuelpump [EM] oil_drum [EM] tools.,fix a car,1,3
This is car [EM] tools [EM] nut_and_bolt [EM] screwdriver.,fix a car,1,1
This is computer [EM] tools.,repair the computer,1,1
The sun is shining [ADJ] circle bright_star.,repair the computer,0,2
That is airplane [FR] welcome champagne heart_button.,repair the computer,0,3
This is tools [EM] tools [EM] computer.,repair the computer,1,4
This is computer [EM] heavy_plus_sign [EM] hammer.,repair the computer,1,1
This is broken_heart [EM] arrow_right [EM] heart_with_bandage.,repair the computer,1,2
This is computer [EM] chart_decreasing [EM] hammer [EM] chart_increasing.,repair the computer,1,3
This is paint [EM] abstract [EM] canvas.,charge the phone,0,1
That is low_calorie [VG] arrow_down green_apple.,charge the phone,0,2
This is mobile_phone [EM] battery [EM] heavy_plus_sign [EM] high_voltage.,charge the phone,1,3
This is battery [EM] battery [EM] mobile_phone [EM] high_voltage.,charge the phone,1,4
This is iphone [EM] high_voltage [EM] battery [EM] check_mark_button.,charge the phone,1,1
That is music [EM] distorted broken record.,charge the phone,0,2
That is garden_gnome [AW] paper_airplane cloud_drifting 22.,charge the phone,0,3
This is sneaker [EM] thread [EM] knot.,tie shoes,1,1
This is handshake [EM] check_mark_button [EM] sneaker.,tie shoes,1,2
This is laptop [EM] phone [EM] charger.,tie shoes,0,3
This is hot [EM] hot [EM] summer.,tie shoes,0,4
This is sneaker [EM] plus [EM] yarn.,tie shoes,1,1
This is up_arrow [EM] sneaker [EM] flexed_biceps.,tie shoes,1,2
That is pizza_slice [emoji] dog_golden picture.,tie shoes,0,3
This is sneaker [EM] wavy_dash [EM] yarn.,tie shoes,1,1
That is dog_golden [EM] bone frisbee.,comb hair,0,1
This is man_curly_haired [EM] person_curly_haired [EM] mirror [EM] broom.,comb hair,1,1
This is lion [EM] crown [EM] sparkles [EM] broom.,comb hair,1,2
This is girl [EM] shower [EM] bathtub [EM] broom.,comb hair,1,3
That is dog_golden_retriever [EM] bone bone bone.,comb hair,0,4
This is woman_white_haired [EM] mirror [EM] broom.,comb hair,1,1
That is cat_striped [AN] collar shines string.,comb hair,0,2
This is man [EM] shower [EM] soap [EM] broom.,comb hair,1,3
This is man_with_beard [EM] razor [EM] scissors.,shave beard,1,1
This is man_with_beard [EM] arrow_right [EM] man [EM] razor.,shave beard,1,1
That is cloud [EM] arrow_right girl hammer.,shave beard,0,2
This is man_with_beard [EM] soap [EM] razor [EM] shower.,shave beard,1,3
This is razor [EM] razor [EM] man_with_beard [EM] scissors [EM] scissors.,shave beard,1,4
That is rusty_nail [EM] arrow_right hammer tool.,shave beard,0,2
That is cat_on_mat [NN] squeaky_toy.,shave beard,0,1
This is man_with_beard [EM] mirror [EM] razor [EM] shower.,shave beard,1,3
That is book [US] teacher exhausted_face.,take vitamins,0,1
That is concept [EM] mind pretzel.,take vitamins,0,2
That was blueberry [EM] grape apple fingers_crossed.,take vitamins,0,3
That is song [KEY] song song piano.,take vitamins,0,4
This is tea [EM] calming_plus_sign [EM] peacefully_smiling_face.,take vitamins,0,1
This is shield [EM] red_apple [EM] pill.,take vitamins,1,2
This is pill [EM] droplet [EM] chart_increasing [EM] grinning_face_with_smiling_eyes.,take vitamins,1,3
This is lotion_bottle [EM] sun [EM] sunglasses.,use sunscreen,1,1
This is shield [EM] sun [EM] thumbsup.,use sunscreen,1,2
This is moon [EM] [CD] [EM] ice [EM] cold_water [EM] computer_keyboard [EM] X.,use sunscreen,0,3
This is lotion_bottle [EM] lotion_bottle [EM] sun.,use sunscreen,1,4
This is umbrella_on_ground [EM] umbrella_on_ground.,use sunscreen,1,5
That is man_bearded [EM] coffee_cup moon.,use sunscreen,0,1
This is smiling_face_with_halo [EM] lotion_bottle [EM] sun [EM] no_entry_sign.,use sunscreen,1,2
This is swimmer [EM] water_wave.,go swimming,1,1
This is swimmer [EM] water_wave.,go swimming,1,1
This is moon [EM] telescope [EM] stardust.,go swimming,0,2
This is swimsuit [EM] shorts [EM] swimmer [EM] water_wave [EM] sun.,go swimming,1,3
This is swimsuit [EM] shorts [EM] swimmer [EM] water_wave [EM] sun.,go swimming,0,3
This is baker [EM] baker [EM] rolling_pin.,go swimming,0,4
This is singer [EM] singer [EM] microphone.,go swimming,0,4
This is lizard [EM] desert_heat [EM] fedora.,go swimming,0,2
This is beach_with_umbrella [EM] swimsuit [EM] water_wave [EM] sun.,go swimming,1,3
That is baking [MM] chocolate_chip delicious_cookie.,visit museum,0,1
That is heart [OR] hammer wrench book vase.,visit museum,0,2
This is world_map [EM] round_pushpin [EM] european_castle [EM] framed_picture [EM] camera.,visit museum,1,3
That is summer_vacation [DT] summer_vacation travel_journal dreams.,visit museum,0,4
This is electric_guitar [EM] electric_guitar.,visit museum,0,5
This is woman_walking [EM] european_castle [EM] artist_palette.,visit museum,1,1
That was quite [ADJ] forget umbrella raining_cloud.,visit museum,0,2
That is dog [VR] virtual_reality abstract_art magazine clapping_hands.,visit museum,0,3
This is tv [EM] popcorn [EM] eyes.,watch movies,1,1
This is couch [EM] relieved [EM] sparkles.,watch movies,1,2
This is clapper [EM] movie_camera [EM] film_frames [EM] couch.,watch movies,1,3
This is tv [EM] tv [EM] popcorn.,watch movies,1,4
That is cooking_show [RT] pressure_cooker knife.,watch movies,0,2
This is projector [EM] popcorn [EM] sunglasses.,watch movies,1,1
This is popcorn [EM] cup_with_straw [EM] tv [EM] sleeping_face.,watch movies,1,3
That is cooking_show [FOOD] spatula kitchen apron microwave.,play video games,0,1
This is brain [EM] fire [EM] joystick [EM] trophy [EM] star2.,play video games,1,2
This is joystick [EM] computer_mouse [EM] crossed_swords [EM] shield [EM] crystal_ball.,play video games,1,3
This is video_game [EM] video_game [EM] video_game [EM] joystick [EM] sunglasses.,play video games,1,4
This is video_game [EM] video_game.,play video games,1,5
This is keyboard [EM] mouse [EM] busts_in_silhouette [EM] microphone.,play video games,0,1
This is joystick [EM] thumbsup [EM] smile [EM] 100.,play video games,1,2
This is video_game [EM] brain [EM] eyes [EM] thumbsup [EM] tada.,play video games,1,3
This is frying_pan [EM] carrot [EM] fork_and_knife_with_plate.,make dinner,1,1
This is fire [EM] heart [EM] yum.,make dinner,1,2
This is shopping_cart [EM] tomato [EM] onion [EM] knife [EM] man_cook.,make dinner,1,3
This is song [EM] song [EM] loud.,make dinner,0,4
This is man_cook [EM] man_cook.,make dinner,1,5
This is pizza [EM] knife [EM] fork_and_knife_with_plate.,make dinner,1,1
This is light_bulb [EM] red_apple [EM] yum.,make dinner,1,2
That is painting [AU] sunset seagull canvas_with_brush artist_male.,make dinner,0,3
This is wastebasket [EM] recycle [EM] walking.,take out trash,1,1
This is wastebasket [EM] arrow_right [EM] door.,take out trash,1,1
This is broom [EM] sparkles [EM] wastebasket.,take out trash,1,2
That is grinning_face [EM] present arrow_left.,take out trash,0,3
This is wastebasket [EM] wastebasket [EM] walking.,take out trash,1,4
This is wastebasket [EM] wastebasket.,take out trash,1,5
This is demolish [EM] arrow_right [EM] running.,take out trash,0,1
That was quite [ADJ] sunflower dream1.,take out trash,0,2
This is droplet [EM] seedling [EM] potted_plant.,water plants,1,1
That is purple_flower [JA] shining_star spiral.,water plants,0,2
That is metal_gear [EX] elephant bicycle trumpet.,water plants,0,3
This is droplet [EM] droplet [EM] seedling.,water plants,1,4
This is shower [EM] tulip [EM] sunflower.,water plants,1,1
This is open_hands [EM] herb [EM] droplet.,water plants,1,2
This is wooden [EM] [CD] [EM] music [EM] player [EM] dust.,water plants,0,3
This is seedling [EM] sweat_drops [EM] seedling [EM] sweat_drops.,water plants,1,4
This is artist_palette [EM] framed_picture [EM] couch_and_lamp.,decorate room,1,1
This is sparkles [EM] house [EM] star2.,decorate room,1,2
That is telescope [Jupiter] star nebula satellite comet.,decorate room,0,3
This old joke [EM] bombs bombs bombs.,decorate room,0,4
This is microphone [EM] radio [EM] broadcast.,decorate room,0,1
This is rainbow [EM] house [EM] slightly_smiling_face.,decorate room,1,2
This is book_and_pen [EM] glasses [EM] notebook [EM] coffee_cup [EM] phone.,decorate room,0,3
This is house [EM] heavy_plus_sign [EM] heavy_plus_sign [EM] heavy_plus_sign.,decorate room,1,4
That is plastic [CD] music record player_with_speakers.,clean windows,0,1
That is nonsense [EM] abstract_contraption.,clean windows,0,2
That is music_note [EM] moon shadow bookshelf.,clean windows,0,3
